Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
15-03-2023,South,Furniture,Supplier D,Warehouse 1,Fulfilled,546,3753,9747.24,True,12,True,42159.47,2468.89,6641
06-12-2023,West,Electronics,Supplier B,Warehouse 1,Fulfilled,204,4970,1309.41,True,22,True,5496.4,3815.6,6383
11-03-2023,South,Clothing,Supplier D,Warehouse 2,Fulfilled,213,3192,2336.72,True,18,False,19844.37,2305.05,8898
15-04-2023,South,Clothing,Supplier B,Warehouse 3,Fulfilled,118,1065,12465.51,True,9,False,8472.16,1826.96,8662
05-06-2023,South,Accessories,Supplier B,Warehouse 1,Fulfilled,805,2517,9352.25,False,17,False,107871.63,1234.27,9811
17-01-2022,South,Electronics,Supplier D,Warehouse 3,Fulfilled,330,806,8439.11,True,23,False,27540.72,835.03,9069
28-12-2022,West,Furniture,Supplier A,Warehouse 1,Fulfilled,556,1655,7186.09,True,2,False,39534.77,2005.92,8702
14-08-2022,South,Furniture,Supplier B,Warehouse 3,Fulfilled,906,715,10478.89,True,17,True,64110.27,1739.28,7078
10-07-2020,West,Furniture,Supplier A,Warehouse 1,Pending,495,1768,5982.15,True,9,False,23046.94,1624.89,5604
18-03-2023,West,Electronics,Supplier D,Warehouse 2,Fulfilled,1031,1979,14921.32,True,0,False,55130.83,1824.83,6781
25-11-2023,West,Clothing,Supplier C,Warehouse 1,Fulfilled,548,1685,4048.34,True,17,False,26101.29,2493.31,5856
26-01-2022,North,Accessories,Supplier A,Warehouse 1,Pending,719,2532,5892.93,True,29,False,107104.26,2588.68,7648
06-03-2024,North,Furniture,Supplier D,Warehouse 1,Fulfilled,260,3522,3028.35,True,16,False,25192.18,3600.06,7893
27-08-2022,East,Clothing,Supplier B,Warehouse 3,Pending,476,3180,4008.74,True,4,True,62758.65,3648.95,6004
30-01-2024,East,Accessories,Supplier D,Warehouse 3,Fulfilled,427,2537,15489.31,True,22,False,10792.38,2241.7,5286
08-10-2022,West,Clothing,Supplier A,Warehouse 1,Fulfilled,733,332,7874.3,False,14,False,83467.45,1794.29,6047
02-09-2023,East,Furniture,Supplier A,Warehouse 1,Canceled,706,2139,11764.4,True,3,False,60479.9,1292.91,6531
21-06-2022,East,Electronics,Supplier B,Warehouse 1,Fulfilled,596,1227,12785.84,True,12,False,60614.83,1241.38,7143
16-01-2023,North,Electronics,Supplier B,Warehouse 2,Fulfilled,462,4236,7961.58,True,12,False,96053.38,3150.09,6711
21-12-2022,East,Furniture,Supplier B,Warehouse 3,Fulfilled,63,2342,14037.67,True,8,True,3902.14,3062.18,5711
05-05-2020,East,Electronics,Supplier D,Warehouse 2,Fulfilled,294,3779,6751.35,True,19,False,49760.1,3242.06,6195
28-05-2022,West,Electronics,Supplier C,Warehouse 3,Fulfilled,79,3544,12775.76,True,8,False,2224.23,4090.93,6217
28-03-2024,South,Clothing,Supplier C,Warehouse 3,Fulfilled,357,3564,8437.53,True,21,False,16170.05,2058.46,7785
10-12-2023,South,Electronics,Supplier A,Warehouse 1,Pending,230,3769,10514.17,False,21,False,29181.22,2192.54,7188
26-12-2024,North,Electronics,Supplier D,Warehouse 1,Pending,909,626,15743.32,True,14,False,50124.3,994.19,7994
28-04-2023,South,Accessories,Supplier B,Warehouse 2,Fulfilled,954,3398,6147.71,True,21,False,166982.34,2601.22,7589
20-11-2024,South,Electronics,Supplier D,Warehouse 1,Fulfilled,664,4483,12551.91,True,0,False,112184.99,2566.13,8768
15-05-2024,East,Electronics,Supplier B,Warehouse 1,Fulfilled,495,348,2983.75,True,17,True,43615.54,583.93,6755
13-08-2023,South,Accessories,Supplier D,Warehouse 1,Fulfilled,922,2943,3132.74,True,2,False,124815.33,3704.12,5831
26-03-2022,North,Electronics,Supplier D,Warehouse 3,Fulfilled,388,1800,15801.86,True,20,False,15231.83,1089.28,8781
31-08-2023,West,Accessories,Supplier A,Warehouse 2,Fulfilled,77,2220,6944.09,True,19,False,6601.85,2357.55,9958
28-05-2024,South,Electronics,Supplier D,Warehouse 2,Fulfilled,506,2701,812.53,True,2,False,83053.32,2586.05,9695
31-08-2023,West,Accessories,Supplier A,Warehouse 2,Fulfilled,61,2341,8218.17,True,21,False,7554.72,2393.71,9958
29-09-2024,East,Accessories,Supplier D,Warehouse 1,Fulfilled,396,343,12593.11,True,13,False,57991.58,923.85,7786
04-01-2024,East,Furniture,Supplier A,Warehouse 2,Fulfilled,1185,2446,10372.95,True,27,False,95066.07,2773.14,5152
15-02-2023,West,Accessories,Supplier A,Warehouse 1,Pending,626,1434,6990.47,True,10,False,58595.56,2085.67,6468
07-07-2024,West,Furniture,Supplier B,Warehouse 1,Fulfilled,530,3688,7888.46,True,10,False,29258.16,3648.48,9962
04-05-2020,East,Accessories,Supplier A,Warehouse 3,Fulfilled,632,4033,6480.15,True,5,False,62135.96,3758.98,8356
26-12-2023,East,Furniture,Supplier C,Warehouse 1,Canceled,354,256,13764.72,True,3,False,33873.63,1208.34,6093
03-03-2022,South,Furniture,Supplier C,Warehouse 3,Fulfilled,240,3789,8355.55,True,12,False,10665.51,2086.75,5324
10-10-2022,North,Clothing,Supplier B,Warehouse 2,Fulfilled,224,4711,2896.61,True,10,False,33344.31,4142.83,5978
22-08-2024,South,Electronics,Supplier D,Warehouse 1,Fulfilled,500,4474,2907.86,True,15,False,41529.22,2699.19,8978
30-07-2022,West,Electronics,Supplier A,Warehouse 3,Pending,457,300,13765.25,True,20,False,91928.04,1349.23,8370
27-04-2020,West,Clothing,Supplier A,Warehouse 3,Fulfilled,641,422,9146.87,True,9,False,48613.99,653.32,6886
17-05-2022,South,Clothing,Supplier B,Warehouse 2,Fulfilled,731,3335,4583.41,True,29,False,39421.25,4024.78,8333
28-02-2024,East,Accessories,Supplier D,Warehouse 3,Pending,225,3860,13487.82,True,20,False,18515.75,3761.84,9185
27-09-2024,South,Clothing,Supplier C,Warehouse 3,Pending,845,3719,2285.32,True,12,False,170594.16,3041.62,9766
30-10-2023,East,Clothing,Supplier D,Warehouse 1,Fulfilled,334,2665,4602.3,True,5,False,18125.67,1570.32,7125
14-07-2020,South,Furniture,Supplier A,Warehouse 3,Fulfilled,955,2489,15125.6,True,5,False,145736.03,1666.56,5828
02-09-2023,East,Furniture,Supplier A,Warehouse 1,Canceled,670,2365,14183.7,True,0,False,67484.29,1462.96,6531
22-11-2024,South,Clothing,Supplier B,Warehouse 3,Fulfilled,1070,906,1550.42,True,14,False,69573.61,1853.89,8281
29-02-2024,West,Clothing,Supplier B,Warehouse 1,Fulfilled,543,726,7519.78,True,23,False,49044.78,2036.53,5231
18-05-2020,South,Furniture,Supplier D,Warehouse 2,Fulfilled,952,737,7239.78,True,16,False,175410.62,2019.5,8473
11-04-2022,West,Electronics,Supplier A,Warehouse 2,Fulfilled,478,1162,4427.42,True,26,False,40521.04,3008.33,6662
06-04-2023,South,Clothing,Supplier D,Warehouse 2,Pending,96,4616,6767.2,True,18,False,8456.99,4316.86,7180
24-06-2023,West,Furniture,Supplier A,Warehouse 3,Pending,393,1356,4470.08,True,26,False,42697.48,2111.6,6673
28-06-2023,North,Clothing,Supplier D,Warehouse 2,Fulfilled,395,980,13981.76,True,27,False,18375.98,1420.12,6053
26-09-2024,South,Accessories,Supplier D,Warehouse 3,Fulfilled,80,2695,2532.43,True,5,False,7465.22,3185.74,6393
12-03-2023,South,Clothing,Supplier D,Warehouse 2,Fulfilled,357,5023,11886.8,True,10,False,32808.85,3874.35,6483
12-05-2024,West,Furniture,Supplier C,Warehouse 3,Pending,134,3584,3696.67,True,29,False,11487.15,3125.97,5554
24-10-2022,North,Furniture,Supplier A,Warehouse 2,Canceled,159,1588,10150.68,True,26,False,26402.52,2260.62,7383
15-04-2024,North,Clothing,Supplier D,Warehouse 1,Canceled,764,2414,1917.72,True,2,False,79274.54,2979.27,8290
26-02-2022,North,Accessories,Supplier C,Warehouse 1,Fulfilled,428,4177,14052.52,True,18,False,58559.9,2604.26,6267
07-04-2022,West,Clothing,Supplier D,Warehouse 1,Fulfilled,592,2535,6983.61,True,24,False,76520.41,3039.47,5191
24-07-2023,West,Clothing,Supplier C,Warehouse 2,Fulfilled,458,4286,11696.2,True,12,False,15700.34,3162.18,5941
14-06-2022,East,Electronics,Supplier A,Warehouse 1,Fulfilled,275,3386,15588.06,False,23,False,34186.24,2275.23,6536
20-01-2024,North,Clothing,Supplier B,Warehouse 2,Fulfilled,356,3848,15435.14,True,5,False,87753.65,2028.52,8231
17-12-2022,East,Electronics,Supplier C,Warehouse 1,Fulfilled,672,827,9577.34,True,11,False,74625.92,1702.08,6723
03-07-2023,East,Accessories,Supplier B,Warehouse 3,Fulfilled,208,2561,12092.65,True,27,True,47608.61,3230.63,5846
10-07-2022,East,Accessories,Supplier B,Warehouse 2,Pending,244,3777,16077.27,True,15,False,35106.7,4042.16,9438
25-04-2024,West,Accessories,Supplier B,Warehouse 3,Fulfilled,270,723,1088.3,True,10,False,46297.61,1382.75,7739
21-08-2022,South,Furniture,Supplier A,Warehouse 3,Pending,333,310,2581.66,True,23,False,26480.85,225.43,9044
18-11-2023,North,Electronics,Supplier A,Warehouse 1,Fulfilled,684,1726,12564.92,True,19,False,33715.04,2470.35,9887
04-05-2023,East,Clothing,Supplier D,Warehouse 2,Fulfilled,492,662,12477.55,False,15,False,52594.14,1141.82,8473
13-02-2024,West,Clothing,Supplier A,Warehouse 3,Fulfilled,958,2199,15731.26,True,29,False,169842.35,3218.76,8616
22-04-2022,North,Clothing,Supplier C,Warehouse 1,Fulfilled,1090,553,11010.65,True,19,False,210489.6,2613.43,9473
12-03-2024,West,Electronics,Supplier B,Warehouse 2,Pending,198,2870,7221.33,True,11,False,20665.96,3919.46,9911
24-03-2022,South,Clothing,Supplier B,Warehouse 2,Fulfilled,457,2241,4562.16,True,25,False,12672.85,3396.22,8709
02-10-2022,East,Furniture,Supplier B,Warehouse 2,Fulfilled,553,3489,14317.72,True,24,False,69482.16,2303.62,6107
08-12-2024,West,Electronics,Supplier D,Warehouse 1,Fulfilled,275,2998,9007.95,True,6,True,55265.57,3481.04,6478
16-05-2023,North,Clothing,Supplier C,Warehouse 1,Fulfilled,952,3367,15753.12,True,22,True,52015.27,2926.68,7121
20-01-2023,East,Furniture,Supplier D,Warehouse 3,Fulfilled,74,1719,9292.28,True,27,True,10320.07,2326.83,6054
28-04-2020,West,Clothing,Supplier C,Warehouse 3,Fulfilled,455,840,11975.49,True,6,False,64596.41,1131.0,9727
17-06-2020,East,Accessories,Supplier C,Warehouse 3,Fulfilled,437,1192,12422.88,True,3,False,80850.14,722.92,7226
10-11-2024,South,Electronics,Supplier C,Warehouse 3,Canceled,610,605,10529.54,True,5,True,19623.83,2216.49,8346
17-02-2023,East,Clothing,Supplier C,Warehouse 2,Pending,295,4444,8304.56,True,17,False,57272.56,4260.36,5938
06-07-2024,North,Clothing,Supplier B,Warehouse 1,Fulfilled,364,3356,1800.12,True,20,False,47182.45,2690.37,8323
24-04-2023,South,Electronics,Supplier D,Warehouse 2,Pending,980,4001,7463.39,False,23,False,32430.59,2281.66,8735
07-02-2023,North,Accessories,Supplier C,Warehouse 3,Canceled,244,3309,5309.41,True,19,False,34874.68,3255.63,6186
30-08-2024,West,Electronics,Supplier A,Warehouse 3,Fulfilled,440,3781,10202.1,True,4,False,71087.4,3676.24,8362
14-10-2022,South,Electronics,Supplier D,Warehouse 1,Fulfilled,579,4412,7833.57,True,18,False,24686.93,2849.17,6282
10-11-2022,East,Accessories,Supplier C,Warehouse 1,Fulfilled,1038,4297,6026.45,True,11,False,67063.77,2742.04,6400
03-07-2022,North,Electronics,Supplier A,Warehouse 2,Fulfilled,260,3412,11398.2,True,25,True,15020.31,1958.83,8962
01-10-2022,West,Furniture,Supplier D,Warehouse 1,Fulfilled,993,2763,11894.66,True,10,False,35558.17,3028.31,5628
06-05-2022,East,Accessories,Supplier A,Warehouse 3,Pending,503,3869,11182.4,True,21,False,30686.33,2353.05,5993
02-07-2023,South,Furniture,Supplier B,Warehouse 3,Canceled,788,4522,5065.37,True,25,True,57597.87,4130.73,6384
24-05-2020,West,Electronics,Supplier B,Warehouse 1,Fulfilled,226,2523,14930.29,True,25,False,35177.62,2670.81,6135
29-05-2023,North,Accessories,Supplier B,Warehouse 2,Pending,351,1655,10558.91,False,27,False,48235.02,1286.42,7851
30-01-2022,East,Electronics,Supplier B,Warehouse 2,Fulfilled,768,3503,10842.05,True,19,False,156019.33,4483.83,6454
06-04-2022,East,Electronics,Supplier D,Warehouse 2,Canceled,792,2693,11851.29,False,5,False,45151.03,2578.56,5434
25-02-2024,South,Electronics,Supplier D,Warehouse 3,Fulfilled,428,1165,1927.61,True,27,False,50273.69,615.25,5350
28-09-2023,South,Electronics,Supplier C,Warehouse 2,Fulfilled,994,458,5856.39,True,11,False,163716.31,805.53,8347
24-05-2023,West,Electronics,Supplier D,Warehouse 1,Fulfilled,511,302,6422.6,True,28,False,57329.69,226.17,9044
09-05-2023,West,Clothing,Supplier D,Warehouse 1,Fulfilled,286,4650,5570.33,True,9,True,37125.52,4263.56,7707
28-11-2024,South,Furniture,Supplier A,Warehouse 1,Fulfilled,839,713,7819.36,True,6,True,111960.38,403.73,6804
29-10-2022,West,Electronics,Supplier A,Warehouse 3,Canceled,691,1867,12950.22,True,28,False,83950.05,1325.33,5429
31-01-2024,West,Accessories,Supplier D,Warehouse 2,Fulfilled,189,2683,6065.65,False,11,False,23930.03,2600.9,9282
21-07-2020,South,Electronics,Supplier A,Warehouse 1,Fulfilled,825,1076,15400.71,True,7,False,112192.51,1393.86,5652
31-05-2024,West,Accessories,Supplier C,Warehouse 3,Fulfilled,715,4868,5530.22,False,5,False,154174.75,3659.39,6387
19-04-2024,East,Electronics,Supplier D,Warehouse 3,Fulfilled,381,4191,14724.02,True,21,False,64466.48,3505.55,8326
28-08-2023,West,Furniture,Supplier D,Warehouse 1,Fulfilled,272,4074,10444.48,False,23,True,58491.54,3502.01,6044
10-08-2024,East,Accessories,Supplier C,Warehouse 2,Canceled,855,260,8637.88,True,25,False,167718.67,1549.26,6658
11-07-2024,South,Electronics,Supplier C,Warehouse 1,Canceled,455,3444,15743.68,True,16,True,47495.77,3872.96,7785
